Facility Name,geometry,SA2_CODE21,SA2_NAME21
Vermont South Club,POINT (339900.92131419235 5809080.454635486),211041273,Vermont South
Banyule Netball Stadium,POINT (329945.5289180217 5823015.063304364),209011203,Viewbank - Yallambie
Genesis Bundoora,POINT (329965.8659956113 5827465.74465812),209041216,Bundoora - North
Olympic Park,POINT (326864.47977981 5821427.106597138),209011199,Heidelberg West
Willinda Park,POINT (333406.4766963305 5824585.2790259225),209011197,Greensborough
AK Lines Reserve,POINT (331415.5327293756 5825283.392369546),209011204,Watsonia
Anthony Beale Reserve,POINT (334799.2469454 5826766.7894146405),209011197,Greensborough
Binnak Park,POINT (330811.2772396136 5826032.773519006),209011204,Watsonia
Chelsworth Park,POINT (328196.23800492065 5817165.794076633),209011200,Ivanhoe
De Winton Park,POINT (329777.8423849188 5820562.4948430965),209011198,Heidelberg - Rosanna
Dunvegan Reserve,POINT (329958.8137343897 5823196.172370782),209011203,Viewbank - Yallambie
Elder Street Reserve,POINT (331735.6014382412 5824098.136549141),209011204,Watsonia
Ford Park,POINT (327097.57272977417 5819637.035654452),209011199,Heidelberg West
Greensborough Park,POINT (333060.97431707237 5825739.878460383),209011197,Greensborough
Greensborough War Memorial Reserve,POINT (332357.36415048514 5825098.206381485),209011197,Greensborough
Heidelberg Cricket Ground,POINT (330241.71542740683 5819734.932538133),209011198,Heidelberg - Rosanna
Heidelberg Park,POINT (330490.66808781546 5819527.028656137),209011198,Heidelberg - Rosanna
Ivanhoe Park,POINT (328421.3071524329 5817595.885818771),209011201,Ivanhoe East - Eaglemont
Macleod Park,POINT (329839.4229312015 5822495.12417521),209011203,Viewbank - Yallambie
Montmorency Park North,POINT (333715.3218997008 5824099.080152964),209011202,Montmorency - Briar Hill
Montmorency Park South,POINT (333686.86084437236 5823852.958957479),209011202,Montmorency - Briar Hill
N J Telfer Reserve,POINT (329453.76312192215 5825183.37444995),209011196,Bundoora - East
Petrie Park,POINT (334824.7234692956 5823906.785237476),209011202,Montmorency - Briar Hill
Seddon Reserve,POINT (326666.8332488084 5818384.083889257),209011200,Ivanhoe
Shelley Park,POINT (328149.72398269095 5821133.059641477),209011199,Heidelberg West
Simms Road Reserve,POINT (333386.00924721133 5824410.917600187),209011197,Greensborough
Warringal Parklands,POINT (330816.1422148277 5819909.930406763),209011198,Heidelberg - Rosanna
Whatmough Park,POINT (332862.770796909 5825784.156837132),209011197,Greensborough
Winsor Reserve,POINT (330784.67353936844 5823742.334328255),209011203,Viewbank - Yallambie
Yulong Reserve,POINT (329071.9634942018 5825996.509044096),209011196,Bundoora - East
Macleod Recreation & Fitness Centre,POINT (329817.6426021728 5823127.7655045185),209011203,Viewbank - Yallambie
Glenauburn Reserve,POINT (333286.98839505983 5822751.909959752),209011202,Montmorency - Briar Hill
Loyola Reserve,POINT (330339.24083369464 5825322.287281398),209011196,Bundoora - East
Malcolm Blair Reserve,POINT (334791.1359176573 5825620.269557245),209011197,Greensborough
Olympic Leisure Centre,POINT (327358.7037016265 5821208.340399832),209011199,Heidelberg West
Banyule Flats Reserve,POINT (331600.51018119353 5820449.071399523),209011203,Viewbank - Yallambie
Cartledge Reserve,POINT (326841.8743017383 5818961.814186156),209011200,Ivanhoe
Central Park,POINT (333028.63125627855 5824046.916938489),209011197,Greensborough
James Reserve,POINT (328400.8474856611 5820152.285579877),209011199,Heidelberg West
Warrawee Park,POINT (330067.66475621 5826124.183960669),209011196,Bundoora - East
North Eastern Club Grounds,POINT (332455.46277981275 5821714.451818092),209011203,Viewbank - Yallambie
ACE Aerobics ,POINT (327718.58670353645 5818298.133586736),209011200,Ivanhoe
Anytime Fitness Greensborough,POINT (332750.92950292525 5825496.825014679),209011197,Greensborough
Anytime Fitness Heidelberg,POINT (329491.04143938795 5819482.869955063),209011198,Heidelberg - Rosanna
Bodytone ,POINT (333029.363650769 5824180.695824299),209011197,Greensborough
Contours Bundoora,POINT (328525.4575020055 5825060.793248353),209011196,Bundoora - East
Contours Ivanhoe,POINT (327578.80184304237 5818046.318313263),209011200,Ivanhoe
Contours Montmorency,POINT (334374.0418769126 5823932.607617846),209011202,Montmorency - Briar Hill
Curves Bundoora,POINT (328975.3208343652 5826322.875914655),209041217,Bundoora - West
Curves Greensborough,POINT (331966.8429525204 5824456.631690916),209011204,Watsonia
F.I.T,POINT (329915.92755876284 5819467.00676633),209011198,Heidelberg - Rosanna
Gym on Grimshaw,POINT (329983.38472753076 5825487.919207571),209011196,Bundoora - East
Ivanhoe Aquatic & Fitness Centre,POINT (327656.2293355735 5818759.751296924),209011200,Ivanhoe
Jetts Fitness Bundoora,POINT (328912.08468878194 5825790.160321714),209011196,Bundoora - East
Living Well Yoga and Health,POINT (329559.8391408055 5819399.480941536),209011198,Heidelberg - Rosanna
Macleod YMCA,POINT (329765.8507307852 5822992.596720226),209011203,Viewbank - Yallambie
Take2 Fitness For Women,POINT (329561.88577094965 5820873.302684769),209011198,Heidelberg - Rosanna
The Rusty Barbell ,POINT (327571.8917374682 5820119.997804264),209011199,Heidelberg West
WaterMarc,POINT (332912.3828845797 5825293.953455664),209011197,Greensborough
Yarra Swim School,POINT (332303.1449007023 5824168.301539248),209011197,Greensborough
Heidelberg Golf Club,POINT (333483.5111621771 5822376.677987503),209011202,Montmorency - Briar Hill
Ivanhoe Golf Course,POINT (328923.519063559 5816827.031341414),209011200,Ivanhoe
Rosanna Golf Club,POINT (332983.58188885765 5820789.589405549),209011202,Montmorency - Briar Hill
Cyril Cummins Reserve,POINT (326768.85454157344 5819525.668632347),209011199,Heidelberg West
Bundoora Bowling Club,POINT (329211.50412141334 5826000.9504908025),209011196,Bundoora - East
City of Heidleberg Bowling Club ,POINT (329277.07477548963 5819600.4408026375),209011198,Heidelberg - Rosanna
Greensborough Bowling Club,POINT (332303.1449007023 5824168.301539248),209011197,Greensborough
John Street Reserve,POINT (327707.68751115154 5817799.681192714),209011200,Ivanhoe
Kalparrin Gardens,POINT (332488.96875004633 5825853.731966964),209011197,Greensborough
Gabonia Avenue Reserve,POINT (331406.5373086053 5824108.959708396),209011204,Watsonia
Partingtons Flat,POINT (332762.10579096334 5826011.903806728),209011197,Greensborough
Yallambie Park,POINT (333143.36323034635 5822590.486889835),209011203,Viewbank - Yallambie
Eaglemont Tennis Club,POINT (329359.02175355295 5816947.191982066),209011200,Ivanhoe
Ivanhoe Tennis Club,POINT (326642.0447525454 5818674.19500209),209011200,Ivanhoe
Viewbank Reserve,POINT (331946.3539908603 5821264.052825538),209011203,Viewbank - Yallambie
"Bunyip Equestrian Park, Pound Rd Reserve",POINT (387038.91568567173 5781883.5659900345),212011547,Bunyip - Garfield
Dendy Park,POINT (326259.096333481 5800653.574290381),208011170,Brighton East
Glamis Avenue Reserve,POINT (325833.801177553 5799067.206164959),208011172,Hampton
Wilson Reserve,POINT (323590.88170264126 5802325.098259137),208011169,Brighton (Vic.)
Banksia Reserve,POINT (328070.0106170096 5793869.403537343),208011168,Beaumaris
Brighton Beach Oval,POINT (323395.8758364327 5800228.3011682425),208011169,Brighton (Vic.)
Castlefield Reserve,POINT (325283.98176573496 5799699.392954527),208011172,Hampton
Cheltenham Recreation Reserve,POINT (328791.9148435097 5795647.828464116),208011171,Highett (West) - Cheltenham
Donald McDonald Reserve,POINT (326641.3190612707 5794345.794395839),208011168,Beaumaris
Easternwick Park Recreation Oval,POINT (323575.9489289264 5805071.260578125),208011169,Brighton (Vic.)
Highett Recreation Centre,POINT (329119.72359457694 5797835.362811492),208031188,Highett (East) - Cheltenham
Hurlingham Park,POINT (325448.8515411634 5802278.514507901),208011170,Brighton East
Peterson Street Reserve,POINT (326561.17005230015 5798349.937550116),208011171,Highett (West) - Cheltenham
Tjilatjirrin Reserve,POINT (326341.89955171803 5796648.38623656),208011173,Sandringham - Black Rock
Trevor Barker Beach Oval,POINT (324282.83038090414 5798412.354181964),208011173,Sandringham - Black Rock
Trevor Barker Oval,POINT (324286.1688440173 5798424.748950358),208011173,Sandringham - Black Rock
William Street Reserve,POINT (324558.74807490513 5801948.655196139),208011169,Brighton (Vic.)
Moorabbin West Reserve,POINT (326613.82443983573 5798951.9883365845),208011172,Hampton
Balcombe Park Reserve,POINT (327156.3701501721 5794942.3192182705),208011168,Beaumaris
Bay Road Reserve,POINT (326637.81657330145 5797164.011062271),208011173,Sandringham - Black Rock
Beaumaris Reserve,POINT (327456.87617218564 5794240.378221434),208011168,Beaumaris
Black Rock Primary School,POINT (326242.15040364384 5795865.924151438),208011173,Sandringham - Black Rock
Boss James Reserve,POINT (326144.820320648 5798713.566579803),208011172,Hampton
Brighton Cricket Oval,POINT (323585.3636998879 5800420.895829469),208011169,Brighton (Vic.)
Cheltenham Park,POINT (328597.3938883903 5796207.1593972845),208011171,Highett (West) - Cheltenham
Elsternwick Park,POINT (323575.8463084314 5804462.545665183),208011169,Brighton (Vic.)
R J Sillitoe Reserve,POINT (326090.7941586763 5799634.417533074),208011172,Hampton
R.G. Chisholm Reserve,POINT (325860.0633903503 5798221.366876019),208011173,Sandringham - Black Rock
Shipston Reserve,POINT (328603.4075548814 5795836.380990991),208011171,Highett (West) - Cheltenham
Whyte Street Reserve,POINT (324226.58752649225 5800950.586655292),208011169,Brighton (Vic.)
WL Simpson Reserve,POINT (326088.6287009808 5799214.83730936),208011172,Hampton
Brighton Croquet Club,POINT (324044.6366955221 5801892.1130765965),208011169,Brighton (Vic.)
